character,text,goodness,priority,if_dead
albus dumbledore,"I should have known that you would be here...Professor McGonagall.
I'm afraid so, Professor. The good, and the bad.
Hagrid is bringing him.",Good,2,Dead
albus dumbledore,"Ah, Professor, I would trust Hagrid with my life.
No problems, I trust, Hagrid?
The only family he has.",Good,2,Dead
albus dumbledore,"Exactly. He's better off growing up away from all that. Until he is ready.
There, there, Hagrid. It's not really goodbye, after all.
Good luck...Harry Potter.",Good,2,Dead
albus dumbledore,"I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.
Let the feast...begin.
SILLLLLEEENNNNCEEEEE!  Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons.",Good,2,Dead
albus dumbledore,"Back again, Harry?  I see that you, like so many before you, have discovered the delights of the Mirror of Erised. I trust by now you realize what it does. Let me give you a clue. The happiest man on earth would look into the mirror and see only himself, exactly as he is.
Yes...and no. It shows us nothing more or less than the deepest, most desperate desires of our hearts. Now you, who have never known your family, you see them standing beside you. But remember this, Harry. This mirror gives us neither knowledge or truth. Men have wasted away in front of it, even gone mad. That is why tomorrow it will be moved to a new home, and I must ask you not to go looking for it again. It does not do to dwell on dreams, Harry, and forget to live.
Good afternoon, Harry. Ah. Tokens from your admirers?",Good,2,Dead
albus dumbledore,"What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows.  Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.
Fine. They're both just fine.
Relax, dear boy. The stone has been destroyed. My friend Nicholas and I had a little chat and agreed it was best all around.",Good,2,Dead
albus dumbledore,"He has enough Elixir to set his affairs in order. But yes, he will die.
Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. That is one of my more brilliant ideas. And between you and me that's saying something.
Ah, I'm afraid there are ways in which he can return. Harry, do you know why Professor Quirrell couldn't bear to have you touch him?  It was because of your mother. She sacrificed herself for you, and that kind of act leaves a mark.  No, no, this kind of mark cannot be seen. It lives in your very skin.",Good,2,Dead
albus dumbledore,"Love, Harry, love.  Ah. Bertie Bott's Every Flavor Beans. I was most unfortunate in my youth to come across a vomit flavored one, and since then I have lost my liking for them. But I think I could be safe with a nice toffee... Mm. Alas. Earwax.
Another year, gone! And now, as I understand it, the house cup needs awarded and the points stand thus. In fourth place: Gryffindor, with 312 points!  In third place: Hufflepuff, with 352 points!  Second: Ravenclaw, with 426 points!  And in first place, with 472 points: Slytherin house!  Yes, well done Slytherin, well done Slytherin. However, recent events must be taken into account and I have a few last minute points to award.  First, to Miss Hermione Granger, for the cool use of intellect while others were in grave peril: fifty points!  Second, to Mr Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years: fifty points!  And third, to mister Harry Potter, for pure love and outstanding courage, I award Gryffindor house: sixty points!
And finally: it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. I award ten points to Neville Longbottom!  Assuming that my calculations are correct, I believe that a change of decoration is in order!  Gryffindor wins the House Cup!",Good,2,Dead
albus dumbledore,"…They are not.
I am well aware of our bylaws, Severus, having written quite a few of them myself. However, as head of Gryffindor house, it is for Professor McGonagall to determine the appropriate action.
Argus! Argus, I… Everyone will proceed to their dormitories immediately. Everyone except… you three.",Good,2,Dead
albus dumbledore,"She's not dead, Argus. She has been Petrified.
But how she has been Petrified, I cannot say…
Innocent until proven guilty, Severus.",Good,2,Dead
albus dumbledore,"We will be able to cure her, Argus. As I understand it, Madame Sprout has a very healthy growth of Mandrakes. When matured, a potion will be made which will revive Mrs. Norris. And in the meantime, I strongly recommend caution… to all.
There's been another attack.
It means…that our students are in great danger.",Good,2,Dead
albus dumbledore,"The truth. Tell them Hogwarts is no longer safe. It is as we feared, Minerva. The Chamber of Secrets has indeed been opened again.
Harry?
Oh, and about time, too. He's been looking dreadful for days. Pity you had to see him on a burning day. Fawkes is a phoenix, Harry. They burst into flame when it is time for them to die, and then they are reborn from the ashes.",Good,2,Dead
albus dumbledore,"Ah, fascinating creatures, phoenixes. They can carry immensely heavy loads, and their- their tears have healing powers.
Hagrid.
Hagrid! Relax. I do not believe that Harry attacked anyone.",Good,2,Dead
albus dumbledore,"Yes.
No, Harry. I do not think it was you… But I must ask you, is there something you wish to tell me?
Very well, then. Off you go.",Good,2,Dead
albus dumbledore,"Riddle! Come.
It is not wise to be wandering around this late hour, Tom.
I'm afraid they are, Tom. They are true.",Good,2,Dead
albus dumbledore,"I understand Tom, but I'm afraid Headmaster Dippet may have no choice.
Is there something you wish to tell me?
Very well, then. Off you go.",Good,2,Dead
albus dumbledore,"Good evening, Hagrid. I wonder, could we…?
I want it understood, Cornelius, that Hagrid has my full confidence.
Well, what exactly is it that you want with me?",Good,2,Dead
albus dumbledore,"Calm yourself, Hagrid. If the governors desire my removal, I will, of course, step aside. However, you will find that help will always be given at Hogwarts to those who ask for it.
You both realize, of course, that in the past few hours you have broken perhaps a dozen school rules?
And there is sufficient evidence to have you both expelled.",Good,2,Dead
albus dumbledore,"Therefore, it is only fitting, that you both receive Special Awards for Services to the School.
And now, Mr. Weasley, if you would, have an owl deliver these release papers to Azkaban? I believe we- we want our gamekeeper back. Harry… first, I want to thank you, Harry. You must have shown me real loyalty down in the Chamber. Nothing but that could have called Fawkes to you. And, um… second, I sense that something is troubling you. Am I right, Harry?
I see. Well, you can speak Parseltongue, Harry. Why? Because Lord Voldemort can speak Parseltongue. If I'm not mistaken, Harry, he transferred some of his powers to you the night he gave you that scar.",Good,2,Dead
albus dumbledore,"Not intentionally, but yes.
It's true, Harry. You possess many of the qualities that Voldemort himself prizes. Determination, resourcefulness, and if I may say so, a certain disregard for the rules. Why then did the Sorting Hat place you in Gryffindor?
Exactly, Harry! Exactly! Which makes you different from Voldemort. It is not our abilities that show what we truly are. It is our choices. If you want proof why you belong in Gryffindor, then I suggest that you look more closely at this. Be careful.",Good,2,Dead
albus dumbledore,"Ah- it would take a true Gryffindor to pull that out of the hat.
When the governors learned that Arthur Weasley's daughter was taken into the Chamber, they saw fit to summon me back.
Curiously, Lucius, several of them were under the impression that you would curse their families, if they did not agree to suspend me in the first place.",Good,2,Dead
albus dumbledore,"I beg your pardon?
Oh, yes.
Voldemort.",Good,2,Dead
albus dumbledore,"Only, this time, he chose to act through somebody else, by means of this.
Fortunately, our young Mr. Potter discovered it. One hopes that no more of Lord Voldemort's old school things should find their way into innocent hands. The consequences for the one responsible would be severe.
Before we begin the feast, let us have a round of applause for Professor Sprout and Madame Pomfrey, whose Mandrake juice has been so successfully administered to all who had been Petrified. Also, in light of the recent events, as a school treat, all exams have been canceled.",Good,2,Dead
albus dumbledore,"Welcome! Welcome to another year at Hogwarts! Now, I'd like to say a few words... before we all become too befuddled by our excellent feast. First, I'm pleased to welcome Professor R.J. Lupin... who's kindly consented to fill the post... of Defense Against the Dark Arts teacher. Good luck, Professor.
Our Care of Magical Creatures teacher... has decided to retire... in order to spend more time with his remaining limbs. Fortunately, I'm delighted to announce... that his place will be taken by none other... than our own Rubeus Hagrid. Finally, on a more disquieting note... at the request of the Ministry of Magic... Hogwarts will, until further notice, play host to the dementors of Azkaban... until such a time as Sirius Black is captured. The dementors will be stationed at every entrance to the grounds. Now whilst I've been assured... that their presence will not disrupt our day-to-day activities... a word of caution. Dementors are vicious creatures. They'll not distinguish... between the one they hunt and the one who gets in their way. Therefore, I must warn each and every one of you... to give them no reason to harm you. It is not in the nature of a dementor to be forgiving. But you know, happiness can be found... even in the darkest of times... if one only remembers to turn on the light.
Make way.",Good,2,Dead
albus dumbledore,"Come on, move.
Mr. Filch? Round up the ghosts. Tell them to search every painting in the castle to find the Fat Lady.
Keep moving!",Good,2,Dead
albus dumbledore,"Dear lady, who did this to you?
Secure the castle, Mr. Filch. The rest of you, to the Great Hall.
Ah, thank you.",Good,2,Dead
albus dumbledore,"Very good.
I didn't really expect him to linger.
Quite remarkable, yes.",Good,2,Dead
albus dumbledore,"Many. Each as unlikely as the next.
Not a single professor inside this castle would help Sirius Black enter it. I'm quite convinced the castle is safe... and I'm more than willing to send the students back to their houses.
Perhaps. But for now, let him sleep. For in dreams, we enter a world that's entirely our own. Let them swim in the deepest ocean or glide over the highest cloud.",Good,2,Dead
albus dumbledore,"Arresto momentum!
No, minister. Over this way.
Yes, that's the... lings you see over there...",Good,2,Dead
albus dumbledore,"On the slope... Ah, Hagrid.
I'd like to have a cup of tea.
Now, now, Hagrid. Now, come on. All right. It'll be all right.",Good,2,Dead
albus dumbledore,"Scabbers?
I do, Miss Granger. But the word of three 13-year-old wizards will convince few others. A child's voice, however honest and true... is meaningless to those who have forgotten how to listen. Mysterious thing, time. Powerful... and when meddled with, dangerous. Sirius Black is in the topmost cell of the Dark Tower. You know the laws, Miss Granger. You must not be seen. And you would do well, I feel, to return before this last chime. If not, the consequences are too ghastly to discuss. If you succeed tonight... more than one innocent life may be spared. Three turns should do it, I think. Oh, and by the way. When in doubt, I find retracing my steps to be a wise place to begin. Good luck.
Minister, I really think I should sign as well.",Good,2,Dead
albus dumbledore,"It's such a very long name...
Here we are, minister. Follow me. Now, look there.
Look beyond the rocks.",Good,2,Dead
albus dumbledore,"Professor Dippet had that ling planted when he was headmaster.
And all the strawberries, you see?.
Over there.",Good,2,Dead
albus dumbledore,"Over there.
All right.
How extraordinary.",Good,2,Dead
albus dumbledore,"I don't think the minister's suggesting you had anything to do with this. How could you? You've been with us all the time.
Well, search the skies, if you must, minister. Meanwhile, I'd like a nice cup of tea or a large brandy. Oh, executioner, your services are no longer required. Thank you.
Well?",Good,2,Dead
albus dumbledore,"Did what? Good night.
Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen...
So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic and their headmistress Madam Maxime.",Good,2,Dead
albus dumbledore,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff.
Igor.
Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them.",Good,2,Dead
albus dumbledore,"Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks.
For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch.
My dear old friend, thanks for coming.",Good,2,Dead
albus dumbledore,"Silence!
The goblet of fire. Anyone wishing to submit themselves for the tournament merely write their name upon a piece of parchment and throw it in the flame before this hour on Thursday night. Do not do so lightly, if choosen there's no turning back. As from this moment the tri-wizard tournament has begun.
Sit down please. And now the moment you've all been waiting for, the champions selection!",Good,2,Dead
albus dumbledore,"The Durmstrang champion is ... Viktor Krum!
The champion from Beauxbatons... Fleur Delacour
The Hogwarts champion... Cedric Diggory.",Good,2,Dead
